chr,start,end,strand,symbol,length,P53KO-O1,p53KO-O2,p53KO-O-CAS1,p53KO-O-CAS2,p53KO-O-RAS1,p53KO-O-RAS2,WT-O1,WT-O2,RAS/CAS,PValueRAS/CAS,FDR,RAS/WT,PValueRAS/WT,FDR,P53KO/WT,PValueP53KO/WT,FDR,CAS/WT,PValueCAS/WT,FDR,Name
chr8,68141938,68995536,+,1-Mar,4832,585,1034,806,746,1166,390,44,30,0.23,0.50399832,0.761370317,3.36,7.35E-18,9.29E-16,3.551469249,4.09E-26,3.24E-24,3.1347496,6.11E-20,6.46E-19,ATP23 metallopeptidase and ATP synthase assembly factor homolog
chr17,33822636,33855622,-,2-Mar,3972,2631,3108,2833,2821,6063,4350,2778,2790,0.78,9.08E-05,0.000346308,-0.21,0.601330883,1,-0.219319988,0.208636776,0.406464807,-0.993011348,9.94E-06,3.37E-05,
chr18,56921369,57085202,-,3-Mar,1759,6,26,34,24,42,34,30,42,-0.1,0.513873065,0.773772841,-0.86,0.053457355,0.212331042,-2.349919948,0.002684855,0.00965253,-0.766251149,0.010514262,0.023340478,
chr1,72473685,72583138,-,4-Mar,4191,0,0,6,2,0,0,0,0,-1.98,0.02654757,0.061572492,0,1,1,0,1,1,1.979799957,0.063697879,0.120978811,coiled-coil domain containing 124
chr19,37282034,37298947,+,5-Mar,5292,4778,4921,4569,4307,12117,8463,3466,3879,1.09,4.23E-08,2.58E-07,0.47,0.017034889,0.089771159,0.322160293,0.546715663,0.859246094,-0.62251807,0.001740115,0.004395205,catechol-O-methyltransferase domain containing 1
chr15,31385653,31460792,-,6-Mar,6262,2818,3343,4285,3969,10723,8323,4002,5047,1.01,8.35E-08,4.92E-07,0.09,0.691343309,1,-0.64673782,4.64E-05,0.000250838,-0.922375991,6.77E-07,2.59E-06,DnaJ heat shock protein family (Hsp40) member C24
chr2,60047992,60086442,+,7-Mar,2729,210,646,1293,1096,1160,696,529,571,-0.47,0.210562949,0.370802678,-0.2,0.477685595,0.912944206,-1.477068909,0.071463948,0.168235632,0.267927414,0.591034139,0.832967458,
chr6,116288140,116359558,+,8-Mar,4528,2100,3505,1771,1762,10299,7210,4804,5342,2.22,1.01E-20,2.35E-19,-0.24,0.32329823,0.719736715,-1.334683512,2.84E-07,2.36E-06,-2.46045735,2.08E-24,3.02E-23,
chr10,126493105,126497240,-,9-Mar,2002,16,16,64,53,73,45,20,28,-0.12,0.815752799,1,0.52,0.578974855,1,-0.416740442,0.101214357,0.225416545,0.639260356,0.421971786,0.63460974,cystatin 13
chr11,105222111,105318049,-,10-Mar,3634,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0.556423738,0.863744335,0,1,1,sperm acrosome associated 4
chr15,26238826,26339328,+,11-Mar,1551,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,microtubule-associated protein 10
chr7,134357955,134361959,-,1-Sep,1464,396,633,6610,5703,598,255,101,72,-3.76,1.25E-46,1.84E-44,1.23,1.08E-05,0.000165401,1.814066973,6.43E-16,1.80E-14,4.992616742,1.90E-66,3.84E-64,calcium release activated channel regulator 2A
chr1,95375569,95406309,+,2-Sep,3347,4235,5559,10795,10019,10503,6498,3512,3824,-0.35,0.021488868,0.051037434,0.24,0.320717864,0.716543277,0.129003785,0.521413898,0.839945781,0.598663036,0.001033814,0.002693479,
chr15,82105364,82124872,+,3-Sep,4741,20,22,40,33,22,14,2,8,-1.1,0.022322022,0.052797092,1.7,0.275541255,0.656282452,2.69216047,0.004744823,0.015914227,2.802982981,0.001290257,0.003319926,phospholipid phosphatase 7 (inactive)
chr11,87394632,87404041,+,4-Sep,1648,855,1009,734,717,1388,575,580,524,0.61,0.336234782,0.546478518,-0.07,0.294564024,0.681839435,0.418048056,0.065119144,0.15528103,-0.682464869,0.045381652,0.08894911,
chr16,18621903,18630031,-,5-Sep,2139,150,200,225,237,270,147,61,55,-0.03,0.304010738,0.50372234,0.81,0.011812639,0.067534006,1.140144586,4.18E-05,0.000228387,0.837560791,0.000419992,0.001159907,
chrX,34451266,34529690,-,6-Sep,6709,196,391,2207,2324,526,209,69,111,-2.36,2.51E-16,3.77E-15,1.6,0.006877056,0.043631664,1.351850887,6.81E-05,0.000355114,3.961377651,9.25E-25,1.37E-23,zinc finger protein 503
chr9,25060039,25116156,+,7-Sep,2543,3070,3832,12141,11745,4737,3373,1638,1918,-1.67,2.02E-17,3.40E-16,0.2,0.343932415,0.744850332,0.764987269,0.000629796,0.002658274,1.868043016,9.14E-21,1.02E-19,
chr11,53333237,53357598,+,8-Sep,4637,384,709,1341,1052,1052,347,193,152,-0.65,0.001353241,0.004179866,1.12,0.004904607,0.033207344,0.844013028,2.79E-05,0.000159,1.769084181,5.04E-09,2.35E-08,unconventional SNARE in the ER 1 homolog (S. cerevisiae)
chr11,117060974,117223639,+,9-Sep,4278,2579,3726,8152,7385,5948,3449,4610,3433,-0.77,3.01E-05,0.00012415,-0.97,7.91E-05,0.00096395,-0.978873753,0.001461694,0.005614837,-0.198851729,0.823414021,1,"Yip1 domain family, member 4"
chr10,58604374,58684595,-,10-Sep,2665,647,799,925,720,1359,877,655,679,0.24,0.14506388,0.271396278,-0.28,0.220922764,0.570713787,-0.158429916,0.436336373,0.735722071,-0.520800805,0.007657614,0.017391082,BLOC-1 related complex subunit 5
chr5,93522482,93603984,+,11-Sep,5018,642,981,2543,2195,1052,612,492,555,-1.58,2.61E-12,2.55E-11,-0.24,0.112548395,0.365069767,0.241859745,0.168813908,0.342102828,1.346912002,5.58E-08,2.37E-07,atonal bHLH transcription factor 8
chr16,4986950,4997945,-,12-Sep,2584,0,0,6,4,0,0,0,0,-1.89,0.006913757,0.01847272,0,1,1,0,1,1,1.891635554,0.01791206,0.038162474,
chr5,130189265,130214386,-,14-Sep,1700,0,2,2,0,0,0,0,2,-1.02,0.54502385,0.797485369,0,0.317535776,0.713375204,0,1,1,1.018392408,0.684805755,0.941820674,
chr3,144233390,144260640,+,15-Sep,1514,11993,12832,19383,21088,23706,18156,11489,10554,-0.02,0.799290551,1,-0.29,0.739987867,1,-0.079048442,0.592210306,0.895476995,-0.266710581,0.938173983,1,
chr12,87156404,87165495,-,0610007P14Rik,1190,3610,4510,3265,3180,10233,7274,4529,3360,1.33,1.03E-08,6.75E-08,-0.16,0.536498304,0.968742531,-0.468172381,0.266569513,0.495844002,-1.493228407,2.93E-07,1.16E-06,RIKEN cDNA 0610007P14 gene
chr11,51498886,51502136,-,0610009B22Rik,797,1359,1320,1678,1494,2358,2146,934,1143,0.17,0.052794549,0.113427506,0,0.511073104,0.946886966,0.400308996,0.693970025,1,-0.175770359,0.203889311,0.339766786,RIKEN cDNA 0610009B22 gene
chr18,38409902,38422283,+,0610009O20Rik,2417,1114,1332,2223,1842,3092,2258,1916,1827,0.16,0.103422384,0.20283006,-0.65,0.008406619,0.051278172,-0.92259316,1.28E-06,9.47E-06,-0.805957663,2.21E-05,7.25E-05,RIKEN cDNA 0610009O20 gene
chr2,174952492,176598837,-,0610010B08Rik,27264,13827,17633,19088,13915,16201,8925,5493,5484,-0.55,0.006519446,0.017530016,0.23,0.455245336,0.885635909,1.190634729,5.11E-10,6.57E-09,0.77589459,0.00054688,0.001485969,predicted gene 2026
chr11,23473775,23533631,-,0610010F05Rik,4162,696,793,821,715,1271,983,508,725,0.31,0.055499915,0.118593052,-0.01,0.616679214,1,0.313692237,0.952703456,1,-0.327386194,0.016324086,0.035032945,RIKEN cDNA 0610010F05 gene
chr11,70048705,70051416,-,0610010K14Rik,919,1126,962,1777,1719,1876,1198,991,659,-0.24,0.224183564,0.390410343,-0.42,0.617611119,1,0.043468692,0.784945001,1,-0.179922352,0.4787085,0.70833984,RIKEN cDNA 0610010K14 gene
chr17,26012444,26014108,+,0610011F06Rik,817,5329,4592,1935,1955,15684,11852,9659,8720,2.7,2.83E-28,1.28E-26,-0.64,0.073998632,0.271355721,-0.998702526,8.11E-07,6.18E-06,-3.340357644,8.59E-36,2.73E-34,methyltransferase like 26
chr6,72297310,72303154,+,0610030E20Rik,4638,1313,1912,2358,1648,4125,2214,1664,2039,0.49,0.009755639,0.02513537,-0.02,0.171833427,0.483550711,-0.482594595,0.01327251,0.039527826,-0.516498417,8.59E-05,0.00026222,RIKEN cDNA 0610030E20 gene
chr4,107562503,107570407,+,0610037L13Rik,1558,1094,1119,1298,1211,2327,1496,1153,1018,0.53,0.022609452,0.053398746,-0.32,0.327507509,0.725436,-0.216297084,0.235762402,0.449476474,-0.850221913,0.001194283,0.003085962,RIKEN cDNA 0610037L13 gene
chr5,64203733,64290858,+,0610040J01Rik,1874,1390,1480,833,802,3750,2939,1656,1722,1.85,7.93E-22,2.03E-20,-0.16,0.978743267,1,-0.393048981,0.008310283,0.026176603,-2.011475848,8.02E-22,9.56E-21,RIKEN cDNA 0610040J01 gene
chr6,38484860,38489449,+,1110001J03Rik,443,3011,1773,1329,1362,3095,2567,2315,1774,0.9,0.004563047,0.012684834,-0.92,0.137942252,0.418727527,0.238574617,0.967012668,1,-1.822067078,2.05E-05,6.77E-05,formation of mitochondrial complex V assembly factor 1
chr16,90926055,90935094,-,1110004E09Rik,1170,652,713,911,953,1721,1270,834,851,0.6,0.014385289,0.035665739,-0.29,0.461323326,0.893252508,-0.494952897,0.012991651,0.038821229,-0.895055853,0.001551828,0.003947944,RIKEN cDNA 1110004E09 gene
chr7,123236893,123248724,+,1110004F10Rik,1405,2000,2310,4273,4401,4571,3288,2016,1961,-0.22,0.192973671,0.343853352,-0.16,0.906754586,1,-0.152367151,0.373067767,0.64740852,0.061987143,0.238396563,0.391128565,RIKEN cDNA 1110004F10 gene
chr13,49298319,49311395,-,1110007C09Rik,810,387,498,951,976,1341,722,359,418,0.19,0.797032967,1,0.57,0.120209375,0.38091981,-0.032381151,0.639452889,0.95158386,0.381153093,0.070407359,0.132289111,"caspase recruitment domain family, member 19"
chr2,156688857,156699298,+,1110008F13Rik,1054,6206,6588,3871,3625,6485,4879,4028,5038,0.43,0.017121243,0.041660317,-0.65,0.00149799,0.012455556,0.482599126,0.308834019,0.556682122,-1.078295248,3.69E-08,1.60E-07,RIKEN cDNA 1110008F13 gene
chr12,56403623,56483478,+,1110008L16Rik,3124,362,387,517,504,1177,897,619,719,0.87,3.04E-05,0.000125452,-0.41,0.098513926,0.333093719,-0.911509449,6.69E-07,5.18E-06,-1.280379103,9.90E-09,4.52E-08,RIKEN cDNA 1110008L16 gene
chr2,32234620,32237435,-,1110008P14Rik,659,1280,1008,1033,1140,2163,1673,794,731,0.75,0.006864834,0.018356775,0.11,0.204911789,0.542757005,0.548013408,0.224736208,0.432320957,-0.643820384,0.152820848,0.264469172,RIKEN cDNA 1110008P14 gene
chrX,67639087,67642591,+,1110012L19Rik,1060,673,632,743,775,1805,1220,718,789,0.97,0.000538114,0.001786284,-0.01,0.968681382,1,-0.232875939,0.057400145,0.139304446,-0.973060669,0.000495355,0.001354359,RIKEN cDNA 1110012L19 gene
chr4,41452041,41464366,-,1110017D15Rik,1297,3,2,2,1,0,0,0,0,-0.93,0.269351531,0.455584395,0,1,1,1.800389781,0.079219785,0.183300258,0.928269648,0.512901021,0.752418869,RIKEN cDNA 1110017D15 gene
chr9,50570932,50576257,-,1110032A03Rik,1786,1128,1301,1090,1118,3667,2478,2101,1621,1.44,9.92E-10,7.33E-09,-0.53,0.178506888,0.495106824,-1.037547236,3.97E-05,0.000218089,-1.968103702,1.74E-13,1.17E-12,RIKEN cDNA 1110032A03 gene
chr3,68673507,68676085,+,1110032F04Rik,2579,24,14,85,109,0,7,0,0,-5.22,1.32E-10,1.08E-09,0,0.04642798,0.191513358,4.384578461,4.92E-07,3.91E-06,5.220963544,3.22E-13,2.11E-12,RIKEN cDNA 1110032F04 gene
chr2,132516018,132576791,+,1110034G24Rik,1474,435,461,540,525,649,483,287,254,-0.05,0.962990328,1,-0.16,0.815061163,1,0.45772274,0.093190349,0.209858887,-0.112536244,0.771425676,1,RIKEN cDNA 1110034G24 gene
chr4,11413104,11478290,+,1110037F02Rik,7140,815,1016,2245,2107,1955,1208,979,1055,-0.51,0.00195555,0.005855601,-0.34,0.040203949,0.172133341,-0.404955536,0.020664613,0.058112971,0.175521534,0.304236895,0.481180783,RIKEN cDNA 1110037F02 gene
chr15,76778973,76781161,+,1110038F14Rik,1095,794,842,1114,931,934,533,337,346,-0.57,0.013470487,0.033618355,0.14,0.819006615,1,1.093378459,0.000116748,0.000578143,0.702236215,0.007479178,0.017012439,RIKEN cDNA 1110038F14 gene
chr2,91117984,91284799,-,1110051M20Rik,1988,126,124,469,441,207,126,100,63,-1.48,3.73E-08,2.29E-07,-0.29,1,1,0.189619174,0.27045993,0.50135509,1.192315951,1.00E-07,4.16E-07,RIKEN cDNA 1110051M20 gene
chr12,8214912,8292565,+,1110057K04Rik,3089,1678,2260,1593,1351,4701,3481,2215,2885,1.24,1.39E-11,1.26E-10,-0.25,0.113010108,0.366042497,-0.541244269,0.000846429,0.00345287,-1.495206794,1.75E-16,1.46E-15,lipid droplet associated hydrolase
chr1,24002777,24012479,-,1110058L19Rik,670,2416,1681,1761,1680,2480,1921,1123,874,0.18,0.372685894,0.595126023,-0.19,0.620532203,1,0.963861185,0.008049012,0.025462988,-0.372834282,0.695026116,0.952326332,succinate dehydrogenase complex assembly factor 4
chr19,21671802,21727281,-,1110059E24Rik,1432,1329,1363,1630,1578,2156,1703,752,734,0.09,0.39842939,0.628615006,0.18,0.065546507,0.247489981,0.680011152,0.006224724,0.020266545,0.093689418,0.316147465,0.4977486,RIKEN cDNA 1110059E24 gene
chr9,122854206,122860118,-,1110059G10Rik,3364,797,850,1278,1174,1709,1211,597,556,0.1,0.469315189,0.718882481,0.18,0.103416326,0.344325991,0.275643589,0.262611895,0.489970135,0.075843815,0.362923249,0.555621628,RIKEN cDNA 1110059G10 gene
chr4,124526728,124527974,-,1110065P20Rik,765,1857,1253,1164,1246,2231,1582,1113,1021,0.62,0.061983536,0.130243885,-0.33,0.560387458,0.986920622,0.597725874,0.317841388,0.570264329,-0.957855219,0.014751198,0.031918456,RIKEN cDNA 1110065P20 gene
chr9,94418282,94438500,-,1190002N15Rik,3953,1566,2126,1770,1652,5030,3731,1508,1887,1.19,8.92E-09,5.93E-08,0.4,0.088442969,0.308204319,-0.086483671,0.406329159,0.695213845,-0.789769256,4.54E-05,0.00014333,RIKEN cDNA 1190002N15 gene
chr13,64582553,64599100,-,1190003K10Rik,1100,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1190003K10 gene
chr8,123132501,123158282,-,1190005I06Rik,738,478,332,225,197,1033,754,349,387,1.87,4.92E-12,4.65E-11,0.23,0.316771172,0.712658474,0.315039167,0.684646776,1,-1.646097717,3.27E-09,1.55E-08,RIKEN cDNA 1190005I06 gene
chr10,82082595,82085973,-,1190007I07Rik,751,908,629,522,547,1054,849,532,389,0.7,0.025172474,0.058723982,-0.35,0.859795106,1,0.630014684,0.142037406,0.298782523,-1.051172682,0.040754958,0.080635556,RIKEN cDNA 1190007I07 gene
