Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type,Ensembl ID,Uniprot ID
42795,,No associated gene,,,,,
42796,,No associated gene,,,,,
42797,,No associated gene,,,,,
42798,,No associated gene,,,,,
42799,,No associated gene,,,,,
42800,,No associated gene,,,,,
42801,,No associated gene,,,,,
42802,,No associated gene,,,,,
42803,,No associated gene,,,,,
42804,,No associated gene,,,,,
42805,UniGene,MGI:1890889,Ndufs5,NADH dehydrogenase (ubiquinone) Fe-S protein 5,protein coding gene,ENSMUSG00000028648,Q99LY9
42979,,No associated gene,,,,,
42980,,No associated gene,,,,,
42981,,No associated gene,,,,,
42982,,No associated gene,,,,,
42983,,No associated gene,,,,,
42984,,No associated gene,,,,,
42985,,No associated gene,,,,,
42986,,No associated gene,,,,,
42987,,No associated gene,,,,,
42988,,No associated gene,,,,,
42989,,No associated gene,,,,,
42990,,No associated gene,,,,,
42992,,No associated gene,,,,,
42993,,No associated gene,,,,,
0610007P14Rik,current symbol,MGI:1915571,0610007P14Rik,RIKEN cDNA 0610007P14 gene,protein coding gene,ENSMUSG00000021252,Q9ERY9
0610009B22Rik,current symbol,MGI:1913300,0610009B22Rik,RIKEN cDNA 0610009B22 gene,protein coding gene,ENSMUSG00000007777,
0610009O20Rik,current symbol,MGI:1914089,0610009O20Rik,RIKEN cDNA 0610009O20 gene,protein coding gene,ENSMUSG00000024442,Q9DCV6
0610010B08Rik,old symbol,MGI:3780195,Gm2026,predicted gene 2026,protein coding gene,ENSMUSG00000078886,
0610010F05Rik,current symbol,MGI:1918925,0610010F05Rik,RIKEN cDNA 0610010F05 gene,protein coding gene,ENSMUSG00000042208,Q68FF0
0610010K14Rik,current symbol,MGI:1915609,0610010K14Rik,RIKEN cDNA 0610010K14 gene,protein coding gene,ENSMUSG00000020831,Q9DCT6
0610011F06Rik,old symbol,MGI:1915597,Mettl26,methyltransferase like 26,protein coding gene,ENSMUSG00000025731,Q9DCS2
0610030E20Rik,current symbol,MGI:1915614,0610030E20Rik,RIKEN cDNA 0610030E20 gene,protein coding gene,ENSMUSG00000058706,Q149G0
0610037L13Rik,current symbol,MGI:1921348,0610037L13Rik,RIKEN cDNA 0610037L13 gene,protein coding gene,ENSMUSG00000028608,Q8BHG2
0610040J01Rik,current symbol,MGI:1923511,0610040J01Rik,RIKEN cDNA 0610040J01 gene,protein coding gene,ENSMUSG00000060512,Q99K99
1110001J03Rik,old symbol,MGI:1913367,Fmc1,formation of mitochondrial complex V assembly factor 1,protein coding gene,ENSMUSG00000019689,Q9CR13
1110004E09Rik,current symbol,MGI:1915251,1110004E09Rik,RIKEN cDNA 1110004E09 gene,protein coding gene,ENSMUSG00000022972,Q8BL95
1110004F10Rik,current symbol,MGI:1929274,1110004F10Rik,RIKEN cDNA 1110004F10 gene,protein coding gene,ENSMUSG00000030663,Q9R0P4
1110007C09Rik,old symbol,MGI:1915730,Card19,"caspase recruitment domain family, member 19",protein coding gene,ENSMUSG00000037960,Q9D1I2
1110008F13Rik,current symbol,MGI:1914638,1110008F13Rik,RIKEN cDNA 1110008F13 gene,protein coding gene,ENSMUSG00000027637,Q9CQT9
1110008L16Rik,current symbol,MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,protein coding gene,ENSMUSG00000021023,Q8JZY4
1110008P14Rik,current symbol,MGI:1920987,1110008P14Rik,RIKEN cDNA 1110008P14 gene,protein coding gene,ENSMUSG00000039195,P58686
1110012L19Rik,current symbol,MGI:1915868,1110012L19Rik,RIKEN cDNA 1110012L19 gene,protein coding gene,ENSMUSG00000045237,Q9D1F3
1110017D15Rik,current symbol,MGI:1920971,1110017D15Rik,RIKEN cDNA 1110017D15 gene,protein coding gene,ENSMUSG00000028441,Q2MH31
1110032A03Rik,current symbol,MGI:1915971,1110032A03Rik,RIKEN cDNA 1110032A03 gene,protein coding gene,ENSMUSG00000037971,Q9D131
1110032F04Rik,current symbol,MGI:1915975,1110032F04Rik,RIKEN cDNA 1110032F04 gene,protein coding gene,ENSMUSG00000046999,E9Q0B3
1110034G24Rik,current symbol,MGI:1920997,1110034G24Rik,RIKEN cDNA 1110034G24 gene,protein coding gene,ENSMUSG00000044991,Q9D112
1110037F02Rik,current symbol,MGI:1913435,1110037F02Rik,RIKEN cDNA 1110037F02 gene,protein coding gene,ENSMUSG00000040720,A2AIV2
1110038F14Rik,current symbol,MGI:2152337,1110038F14Rik,RIKEN cDNA 1110038F14 gene,protein coding gene,ENSMUSG00000063236,Q3U6N9
1110051M20Rik,current symbol,MGI:1915079,1110051M20Rik,RIKEN cDNA 1110051M20 gene,protein coding gene,ENSMUSG00000040591,Q8BHR8
1110057K04Rik,old symbol,MGI:1916082,Ldah,lipid droplet associated hydrolase,protein coding gene,ENSMUSG00000037669,Q8BVA5
1110058L19Rik,old symbol,MGI:1915252,Sdhaf4,succinate dehydrogenase complex assembly factor 4,protein coding gene,ENSMUSG00000026154,Q8BTE0
1110059E24Rik,current symbol,MGI:1913456,1110059E24Rik,RIKEN cDNA 1110059E24 gene,protein coding gene,ENSMUSG00000035171,Q9CQ90
1110059G10Rik,current symbol,MGI:1913452,1110059G10Rik,RIKEN cDNA 1110059G10 gene,protein coding gene,ENSMUSG00000032551,Q8K039
1110065P20Rik,current symbol,MGI:1916170,1110065P20Rik,RIKEN cDNA 1110065P20 gene,protein coding gene,ENSMUSG00000078570,B1ARW8
1190002N15Rik,current symbol,MGI:1916111,1190002N15Rik,RIKEN cDNA 1190002N15 gene,protein coding gene,ENSMUSG00000045414,Q3USZ8
1190003K10Rik,current symbol,MGI:1916130,1190003K10Rik,RIKEN cDNA 1190003K10 gene,protein coding gene,ENSMUSG00000096537,J3QMB3
1190005I06Rik,current symbol,MGI:1916168,1190005I06Rik,RIKEN cDNA 1190005I06 gene,protein coding gene,ENSMUSG00000043687,Q8K1L6
1190007I07Rik,current symbol,MGI:3698433,1190007I07Rik,RIKEN cDNA 1190007I07 gene,protein coding gene,ENSMUSG00000063320,Q8BTC1
1200014J11Rik,old symbol,MGI:1914124,Ncbp3,nuclear cap binding subunit 3,protein coding gene,ENSMUSG00000020783,Q8BZR9
1300017J02Rik,current symbol,MGI:1919025,1300017J02Rik,RIKEN cDNA 1300017J02 gene,protein coding gene,ENSMUSG00000033688,Q9DBD0
1500009L16Rik,current symbol,MGI:1917034,1500009L16Rik,RIKEN cDNA 1500009L16 gene,protein coding gene,ENSMUSG00000087651,P0C913
1500012F01Rik,old symbol,MGI:1916199,Zfas1,"zinc finger, NFX1-type containing 1, antisense RNA 1",unclassified non-coding RNA gene,ENSMUSG00000074578,Q3V494
1500015O10Rik,current symbol,MGI:1926146,1500015O10Rik,RIKEN cDNA 1500015O10 gene,protein coding gene,ENSMUSG00000026051,Q99LS0
1600002H07Rik,current symbol,MGI:1919266,1600002H07Rik,RIKEN cDNA 1600002H07 gene,protein coding gene,ENSMUSG00000024118,Q6GQV0
1600002K03Rik,current symbol,MGI:1917020,1600002K03Rik,RIKEN cDNA 1600002K03 gene,protein coding gene,ENSMUSG00000035595,Q9DAZ5
1600012H06Rik,current symbol,MGI:1915162,1600012H06Rik,RIKEN cDNA 1600012H06 gene,protein coding gene,ENSMUSG00000050088,Q9DAY5
1600014C10Rik,current symbol,MGI:1919494,1600014C10Rik,RIKEN cDNA 1600014C10 gene,protein coding gene,ENSMUSG00000054676,Q8WUR0
1600014C23Rik,current symbol,MGI:1919490,1600014C23Rik,RIKEN cDNA 1600014C23 gene,protein coding gene,ENSMUSG00000094690,Q9DAX4
1600014K23Rik,old symbol,MGI:1919246,Fthl17a,"ferritin, heavy polypeptide-like 17, member A",protein coding gene,ENSMUSG00000035491,Q9DAX0
1600015I10Rik,current symbol,MGI:1917011,1600015I10Rik,RIKEN cDNA 1600015I10 gene,protein coding gene,ENSMUSG00000029813,E9Q745
1700001C02Rik,current symbol,MGI:1922684,1700001C02Rik,RIKEN cDNA 1700001C02 gene,protein coding gene,ENSMUSG00000029182,Q9DAS2
1700001C19Rik,current symbol,MGI:1922712,1700001C19Rik,RIKEN cDNA 1700001C19 gene,protein coding gene,ENSMUSG00000047150,E9Q6U5
1700001F09Rik,current symbol,MGI:1919076,1700001F09Rik,RIKEN cDNA 1700001F09 gene,protein coding gene,ENSMUSG00000095384,Q6P8U7
1700001J03Rik,current symbol,MGI:1916532,1700001J03Rik,RIKEN cDNA 1700001J03 gene,protein coding gene,ENSMUSG00000095040,Q80ZR8
1700001K19Rik,current symbol,MGI:1913573,1700001K19Rik,RIKEN cDNA 1700001K19 gene,protein coding gene,ENSMUSG00000056508,Q80ZT1
1700001L19Rik,current symbol,MGI:1916565,1700001L19Rik,RIKEN cDNA 1700001L19 gene,protein coding gene,ENSMUSG00000021534,Q9DAR0
1700001O22Rik,current symbol,MGI:1923631,1700001O22Rik,RIKEN cDNA 1700001O22 gene,protein coding gene,ENSMUSG00000044320,A2APZ1
1700001P01Rik,current symbol,MGI:1919465,1700001P01Rik,RIKEN cDNA 1700001P01 gene,protein coding gene,ENSMUSG00000018543,Q9DAQ5
1700003E16Rik,current symbol,MGI:1919087,1700003E16Rik,RIKEN cDNA 1700003E16 gene,protein coding gene,ENSMUSG00000030030,Q9DAQ4
1700003F12Rik,current symbol,MGI:1922730,1700003F12Rik,RIKEN cDNA 1700003F12 gene,protein coding gene,ENSMUSG00000038523,A2AKE5
1700003M02Rik,old symbol,MGI:1916579,Cfap206,cilia and flagella associated protein 206,protein coding gene,ENSMUSG00000028294,Q6PE87
1700006A11Rik,current symbol,MGI:1919074,1700006A11Rik,RIKEN cDNA 1700006A11 gene,protein coding gene,ENSMUSG00000027973,A0A0G2JFV6
1700006E09Rik,current symbol,MGI:1922687,1700006E09Rik,RIKEN cDNA 1700006E09 gene,protein coding gene,ENSMUSG00000010841,Q9DAN9
1700007B14Rik,current symbol,MGI:1919081,1700007B14Rik,RIKEN cDNA 1700007B14 gene,protein coding gene,ENSMUSG00000031620,Q149I8
1700007G11Rik,current symbol,MGI:1916571,1700007G11Rik,RIKEN cDNA 1700007G11 gene,protein coding gene,ENSMUSG00000057816,Q810M1
1700007K09Rik,current symbol,MGI:1916568,1700007K09Rik,RIKEN cDNA 1700007K09 gene,protein coding gene,ENSMUSG00000030858,Q9DAL9
1700007K13Rik,current symbol,MGI:1916577,1700007K13Rik,RIKEN cDNA 1700007K13 gene,protein coding gene,ENSMUSG00000026831,Q5BN45
